id,label,text
267,HAM,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
268,HAM,K da:)how many page you want?
269,SPAM,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
270,SPAM,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA
271,SPAM,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
272,SPAM,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins."
273,HAM,K.i did't see you.:)k:)where are you now?
274,HAM,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
275,SPAM,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
276,HAM,"K, wat s tht incident?"
277,HAM,K:)k.are you in college?
278,SPAM,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
279,SPAM,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
280,SPAM,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
281,SPAM,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
282,HAM,Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...
283,SPAM,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow
284,SPAM,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04
285,HAM,But i have to. I like to have love and arrange.
286,SPAM,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
287,HAM,You do got a shitload of diamonds though
288,HAM,Come to medical college at 7pm ......forward it da
289,SPAM,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
290,SPAM,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL
291,SPAM,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
292,HAM,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
293,SPAM,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
294,HAM,Its normally hot mail. Com you see!
295,HAM,What's happening with you. Have you gotten a job and have you begun registration for permanent residency
296,SPAM,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
297,HAM,Im good! I have been thinking about you...
298,HAM,How do you plan to manage that
299,SPAM,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
300,SPAM,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
